EM0,PV0,PV1,PV2,PV3,PV4,PV5
'G','G008    ','CORPORACION MM & SI 2008      ','AV.LARA CON CALLE CARABOBO Y  ','SUBLETTE C.C.GRAN BAZAR NIVEL ','PB LOCAL 2 VALENCIA           ','J-29776044-0   '
'G','G009    ','CAIP                          ','AVENIDA CARUPANO CAIGUIRE     ','CUMANA EDO SUCRE              ','                              ','J-00019463-7   '
'G','G013    ','DEL MONTE ANDINA C.A          ','AV.PROLONGACION AV.BERMUDEZ   ','EDIF.PLANTA BAJA PISO 1 LOCAL ','1 ZONA IND.TURMERO EDO ARAGUA ','J-30546458-8   '
'G','G014    ','CVG ALUMINIO DE CARABOBO S.A. ','URB.INDUSTRIAL CARIBE CARRETE ','RA NACIONAL GUACARA ESTADO    ','CARABOBO                      ','J301663004     '
'G','G015    ','DIST. DE ALIM. LAS NUBES  C.A.','AV.PRINCIPAL LA CANDELARIA    ','EDIF.LA CANDELARIA FILAS DE   ','MARICHE KM-9 CARACAS          ','J-30635251-1   '
'G','G016    ','PRODUCTOS DALVI C.A.          ','Zona Industrial 1 etapa       ','calle 139.                    ','Maracaibo-Edo-Zulia.          ','J-075009630    '
'G','G019    ','INVERSIONES FERMOPAL C.A.     ','AV.PRINCIPAL DE LA CASTELLANA ','BANCO DE LARA PISO 6 OF.61 URB','LA CASTELLANA CARACAS         ','J-30718416-7   '
'G','G022    ','ECOGRASAS C.A.                ','CALLE 4 PARCELA N*C ZONA PARQU','E INDUSTRIAL MUNICIPAL 1 ETAPA','TINAQUILLO EDO COJEDES        ','J-29801313-3   '
'G','G023    ','ACEGRASAS  C.A.               ','AVENIDA LIBERTADOR EDIFICIO   ','PISO 04 CHACAO CARACAS        ','                              ','J-000110514    '
'G','G024    ','DIST. UNILEVER ANDINA C.A.    ','Av. Libertador Edf. Xerox piso','10 Urb. Bello Campo Caracas   ','Apdo. Postal 6919 5897 zona 10','J-000110514    '
'G','G029    ','EMBOTELLADORA TEREPAIMA  C.A. ','CALLE DR.GUILLERMO ALVIZU CON ','CALLE SAN RAFAEL  CABUDARE    ','ESTADO LARA                   ','J-075009630    '
'G','G038    ','PRODUCTOS FAMILIA  S.A.       ','Carret.Guatire Caucagua Zona  ','Indust.Terrinca Sector El Desv','io Galpones 3-4 Edo.Miranda   ','J-30756029-1   '
'G','G040    ','FABRICA BRILUX  C.A.          ','URB INDUSTRIAL ESTE PARC F 15 ','MANZANA F LOTE 1 AV N# 1      ','GUARENAS EDO MIRANDA          ','J-30091423-2   '
'G','G056    ','NABISCO LA  FAVORITA  C.A.    ','AV LA ESTANCIA CENTRO         ','PANAVEN TORRE A PISO 7        ','CHUAO CARACAS                 ','J-00017602-7   '
'G','G067    ','COPACKING DE VENEZUELA        ','O/C NUMERO:                   ','000550                        ','                              ','J-00017602-7   '
'G','G069    ','CAIGUA C.A                    ','COMPLEJO AGRO INDUSTRIAL      ','DEL GUARICO ZONA INDUSTRIAL   ','TRICENTENARIA EDO GUARICO     ','J-06001205-8   '
'G','G070    ','COMERCIALIZACION  CENTRAL  S.A','CARRETERA NACIONAL LA         ','ENCRUCIJADA SAN MATEO EDO     ','ARAGUA                        ','J-06001205-8   '
'G','G075    ','COMERCIAL EL TRENTINO C.A.    ','CARRETERA PANAMERICANA KM.495 ','VIA LARA TRUJILLO CARORA      ','EDO LARA                      ','J-300242536    '
'G','G080    ','HARIPESCA C.A                 ','ZONA INDUSTRIAL GALPON N 23   ','CARUPANO-EDO-SUCRE            ','                              ','J-30252828-3   '
'G','G090    ','INPROA RR  C.A.               ','CARRETERA ARAURE AGUA BCA SECT','POTRERO DE ARMO VIA FERROCARRI','L  ARAURE-Edo. PORTUGUESA     ','J-30827011-3   '
'G','G120    ','INDUSTRIALIZACIONES FARALLON  ','AVENIDA PRINCIPAL LOS MESONES ','MULTICENTRO EMPRESARIAL       ','MESONES LOCAL N*3 BARCELONA   ','J-00085667-2   '
'G','G165    ','MULTIPHONE VENEZUELA  C.A.    ','Av San Francisco torre Califor','nia  piso I  ofic IA.         ','Caracas.                      ','J-30689329-6   '
'G','G171    ','NESTLE VENEZUELA  S.A.        ','PLAZA VENEZUELA LOS CAOBOS  ED','POLAR PLANTA BAJA  CARACAS    ','                              ','J-00012926-6   '
'G','G180    ','INDUGRAM  C.A.                ','O/C NUMERO:                   ','040543                        ','                              ','J-00012926-6   '
'G','G190    ','ALMACENADORA ASOPORTUGUESAC.A.','AV. LOS AGRICULTORES FRENTE AL','COMANDO DE LA GUARDIA NACIONAL','ARAURE EDO. PORTUGUESA        ','J-00012926-6   '
'G','G201    ','MOLINOS NACIONALES C.A.       ','ZONA INDUSTRIAL LOS MESONES   ','SECTOR PUENTE AYALA SECTOR    ','FUTURO GALPON N2 BARCELONA    ','J-00012926-6   '
'G','G202    ','LA LUCHA  C.A.                ','1ra. AVENIDA #15  PARQUE IND. ','INDUSTRIAL EL TIGRE GUACARA   ','EDO. CARABOBO                 ','J-07507456-4   '
'G','G203    ','LA LUCHA  C.A.                ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URB. EL TAMBOR  LOS','TEQUES EDO. MIRANDA           ','J-00021319-4   '
'G','G210    ','LACTEOS SAN SIMON             ','AV INTERCOMUNAL ANDVES BELLO  ','PTO LA CRUZ SECTOR MOLORCA    ','                              ','J-00021319-4   '
'G','G233    ','MEAD JOHNSON NUTRITION VZLA SC','CALLE BERNARDETTE EDIF.BRISTOL','MYERS DE VZLA PB.URB.LOS CORTI','JOS DE LOURDES CARACAS        ','J296961360     '
'G','G350    ','PRODUCTOS PISCICOLA PROPISCA  ','CARRETERA NACIONAL CUMANA     ','CARUPANO PLANTA ENLATADORA    ','GUATAMARE CARIACO EDO SUCRE   ','J-00092975-0   '
'G','G370    ','ETHNOR FARMACEUTICA S.A       ','AV ROMULO GALLEGOS LOS DOS    ','CAMINOS EDIF JHONNSON &       ','JHONNSON PISO 7 CARACAS       ','J-00012801-4   '
'G','G371    ','EVEREADY DE VENEZUELA  C.A.   ','AV. GUAICAIPURO URB EL ROSAL  ','EDIF TORRE FORUM PISO 1       ','OFIC 1-B. CARACAS.            ','J-00037427-9   '
'G','G374    ','PRODUCTOS YUPI C.A.           ','AV.ABRAHAM LINCOLN EDIF.CENTUN','6 OF.B URB.SABANA GRANDE      ','CARACAS                       ','J-30665572-7   '
'G','G375    ','PRODUCTOS LA FINA C.A.        ','ZONA INDUSTRIAL CORPOINDUSTRIA','GALPON E-4                    ','TINAQUILLO EDO COJEDES        ','J-30503654-3   '
'G','G380    ','PROAGRO C.A.                  ','AV.EUGENIO MENDOZA EDIF.PROTI ','NAL FTE STADIUM JOSE BERNARDO ','PEREZ VALENCIA EDO CARABOBO   ','J-00103686-5   '
'G','G387    ','IMP.DE ALIMENTOS BEKA C.A.    ','CALLE SAN RAFAEL CASA NRO. 64 ','SECTOR STA.TERESA DEL TUY     ','                              ','J-30642410-5   '
'G','G388    ','PROCTER & GAMBLE DE VENEZUELA ','O/C NUMERO:                   ','057708                        ','                              ','J-00037427-9   '
'G','G389    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','030709                        ','TRINIDAD BARUTA EDO. MIRANDA  ','J-30810986-0   '
'G','G391    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA EDO. MIRANDA  ','J-00348730-9   '
'G','G392    ','NORDIK QUIMICA DE VZLA.  C.A. ','ZONA IND. GUAYABAL  CALLE C   ','PARCELA # 25  DETRAS DE AGUA M','LOS ALPES  GUARENAS - MIRANDA ','J-30044950-5   '
'G','G393    ','RIPA  S.A.                    ','AV.ABRAHAN LINCOLN URB.SABANA ','GRANDE TORRE DOMUS PISO 16    ','CARACAS                       ','J-30735353-8   '
'G','G396    ','PAPELES VENEZOLANOS C.A       ','CALLE LAS MERCEDES ENTRE CALLE','GUAICAIPURO Y CARABOBO EDFIC  ','SORUM PISO 8 EL ROSAL.CARACAS ','J-075883098    '
'G','G405    ','"FUNDAMERCADO"                ','SAN JUAN DE LOS MORROS        ','EDO GUARICO                   ','                              ','G-20001358-3   '
'H','H002    ','GRASACA GRASAS SAN CARLOS     ','AV.LA SALLE TORRE PHELPS PISO ','14 OFICINA A Y C              ','CARACAS                       ','J-31104331-4   '
'H','H003    ','ALIMENTOS NATROPIC S.A.       ','URB.INDUSTRIAL LA QUIZANDA AVE','CIRCUNVALACION GALPON N*107   ','VALENCIA EDO CARABOBO         ','J-30717543-5   '
'H','H004    ','AJEVEN C.A.                   ','URB.IND.EL RECREO CALLE E PAR-','CELA 137 VALENCIA EDO CARABOBO','                              ','J.-30601138-2  '
'H','H005    ','AVECAISA                      ','Av. LIBERTADOR MULTICENTRO    ','EMPRESARIAL DEL ESTE EDIF MIR.','PISO 9 OFIC 93 CHACAO-CARACAS ','J-08521486-0   '
'H','H006    ','ALIMENTOS KELLOGG  S.A.       ','FINAL AV. BOLIVAR ESTE #52    ','SAN JACINTO  MARACAY EDO.     ','ARAGUA                        ','J-0000-1021-8  '
'H','H007    ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV.SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
'H','H008    ','CORPORACION MM&SI2008 C.A.    ','AV.LARA CON CALLE CARABOBO Y  ','SOUBLETTE C.C.GRAN BAZAR NIVEL','PB LOCAL 2 VALENCIA           ','J-29795414-5   '
'H','H009    ','CAIP                          ','AVENIDA CARUPANO CAIGUIRE     ','CUMANA EDO SUCRE              ','                              ','J-00019463-7   '
'H','H013    ','DEL MONTE ANDINA C.A.         ','AV.PROLONGACION AV.BERMUDEZ   ','EDIF.PLANTA BAJA PISO 1 LOCAL ','1 ZONA IND.TURMERO EDO ARAGUA ','J-30546458-8   '
'H','H014    ','CVG ALUMINIO DE CARABOBO S.A. ','URB.INDUSTRIAL CARIBE CARRETE ','RA NACIONAL GUACARA ESTADO    ','CARABOBO                      ','J-301663004    '
'H','H015    ','LECHE PLATINUM                ','CALLE SUCRE ENTRE DIAZ MORENO ','DE OCA  SECTOR LA CANDELARIA  ','C.C. DON EDUARDO  LOCAL 1 Y 2 ','J-30635251-1   '
'H','H016    ','EMBOTELLADORA TEREPAIMA C.A.  ','CALLE GUILLERMO ALVIZU C/CALLE','SAN RAFAEL QTA S/N URB.LA MATA','CABUDARE  BARQUISIMETO        ','J-075009630    '
'H','H019    ','INVERSIONES FERMOPAL C.A.     ','AV.PRINCIPAL DE LA CASTELLANA ','BANCO DE LARA PISO 6 OF.61 URB','LA CASTELLANA CARACAS         ','J-30718416-7   '
'H','H022    ','ECOGRASAS C.A.                ','CALLE 4 PARCELA N*C ZONA PARQU','E INDUSTRIAL MUNICIPAL 1 ETAPA','TINAQUILLO EDO COJEDS         ','J-29801313-3   '
'H','H023    ','ACEGRASA  C.A.                ','AVENIDA LIBERTADOR EDIFICIO   ','PISO 04 CHACAO CARACAS        ','                              ','J-00072129-7   '
'H','H024    ','*DIST.UNILEVER ANDINA  S.A.*  ','Av. Libertador Edf. Xerox piso','10 Urb. Bello Campo Caracas   ','Apdo. Postal 6919 5897 zona 10','J-00072129-7   '
'H','H038    ','PRODUCTOS FAMILIA  S.A.       ','Carretera Guatire Caucagua    ','Zona Indust. Terrinca Sector  ','El Desvio Galpo 3/4 Edo.Miran ','J-30756029-1   '
'H','H040    ','FABRICA BRILUX  C.A.          ','URB INDUSTRIAL ESTE PARC F 15 ','MANZANA F LOTE 1 AV N# 1      ','GUARENAS EDO MIRANDA          ','J-30091423-2   '
'H','H056    ','NABISCO VENEZUELA C.A.        ','AV.JOSE ANZOATEGUI LOCAL 1    ','                              ','                              ','J-00017602-7   '
'H','H057    ','**GALLETAS PUIG  C.A.**       ','ZONA IND. RIO NEVERI Av. JOSE ','ANTONIO ANZOATEGUI LOCAL 1 VIA','AEROPUERTO BARCELONA          ','J-00017602-7   '
'H','H065    ','**CEREIRA GARRIDO  C.A.**     ','COLINAS DE LAMARIPOSA SAN     ','ANTONIO DE LOS ALTOS EDO      ','MIRANDA                       ','J-00017602-7   '
'H','H067    ','COPACKING DE VENEZUELA        ','O/C NUMERO:                   ','000550                        ','                              ','J-00017602-7   '
'H','H069    ','**CAIGUA  C.A.**              ','COMPLEJO AGRO INDUSTRIAL      ','DEL GUARICO ZONA INDUSTRIAL   ','TRICENTENARIA EDO GUARICO     ','J-06001205-8   '
'H','H070    ','*COMERCIALIZADORA CENTRAL S.A*','CARRETERA NACIONAL LA         ','ENCRUCIJADA SAN MATEO EDO     ','ARAGUA                        ','J-06001205-8   '
'H','H075    ','INVERSIONES SAUGEN C.A.       ','AV.UNIVERSIDAD CASA N*206     ','SECTOR EL LIMON MARACAY       ','EDO ARAGUA                    ','J-31316919-6   '
'H','H076    ','C.A. CENTRAL LA PASTORA       ','CARRETERA PANAMERICANA VIA    ','LARA TRUJILLO Km. 495  LA     ','PASTORA                       ','J-00006277-3   '
'H','H078    ','*CONVERTIDORA OSMANA  C.A.*   ','O/C NUMERO:                   ','009708                        ','                              ','J-00006277-3   '
'H','H080    ','LACTEOS HNOS CAMACHO C.A.     ','1ra CALLE URB.LOS MOLINOS EDIF','SEDE HNOS CAMACHO SAN MARTIN  ','CARACAS                       ','J-30252828-3   '
'H','H083    ','INPROCECA C.A.                ','CARRETERA NACIONAL GUARENAS NR','S/N SECTOR EL INGENIO PARCELA ','11 Y 12 GUATIRE  CARACAS      ','J-29886671-3   '
'H','H085    ','INDUSTRIAS DON PEDRO C.A.     ','CALLE BB CAMPO AYACUCHO CASA N','S/N SECTOR CAMPO AYACUCHO     ','MATURIN                       ','J-30339823-5   '
'H','H090    ','INPROA RRC C.A.               ','CARRETERA ARAURE AGUA BCA SECT','POTRERO DE ARMO VIA FERROCARRI','L. ARAURE-Edo. PORTUGUESA     ','J-30827011-3   '
'H','H092    ','**DISTRIBUIDORA COCOFRUT**    ','RESIDENCIAS SUR ALTAMIRA      ','PRIMER PISO N 12 CARACAS      ','                              ','J-00006277-3   '
'H','H095    ','DISTRIBUIDORA SARDE  C.A.     ','O/C NUMERO:                   ','003532                        ','                              ','J-00006277-3   '
'H','H120    ','INDUSTRIALIZACIONES FARALLON  ','AVENIDA PRINCIPAL LOS MESONES ','MULTICENTRO EMPRESARIAL       ','MESONES LOCAL N*3 BARCELONA   ','J-00085667-2   '
'H','H134    ','ENVASES VENEZUELA             ','AV BOLIVAR EDIF EVENCA        ','N.320.322                     ','PTO LA CRUZ                   ','J-00006277-3   '
'H','H150    ','%%% MOLINO RIO DE LA PLATA S.A','AV.VENEZUELA EDIF. UNION      ','CARBIDE.EL ROSAL. CARACAS.    ','                              ','J-00006277-3   '
'H','H160    ','GALLETERA LA CRUZ C.A.        ','AVENIDA INTERCOMUNAL SECTOR   ','LAS GARZAS BARCELONA          ','                              ','J-00006277-3   '
'H','H165    ','MULTIPHONE VENEZUELA  C.A.    ','Av San Francisco torre Califor','nia  piso I  ofic IA.         ','Caracas.                      ','J-30689329-6   '
'H','H171    ','NESTLE VENEZUELA  S.A.        ','PLAZA VENEZUELA LOS CAOBOS  ED','POLAR PLANTA BAJA  CARACAS    ','                              ','J-00012926-6   '
'H','H175    ','INDUSTRIAS DIANA C.A.         ','AVENIDA HENRY FORD ZONA INDUS ','TRIAL SUR II VALENCIA         ','EDO CARABOBO                  ','J-00017646-9   '
'H','H180    ','INDUGRAM  C.A.                ','ZONA INDUSTRIAL CORPOINDUSTRIA','GALPON 63                     ','                              ','J-30612222-2   '
'H','H185    ','%% EMPAQUESE  S.A. %%         ','O/C NUMERO:                   ','000201                        ','                              ','J-00012926-6   '
'H','H190    ','ALMACENADORA ASOPORTUGUESA C.A','AV.LOS AGRICULTORES FRENTE AL ','COMANDO DE LA GUARDIA NACINAL ','ARAURE EDO. ANZOATEGUI        ','J-00012926-6   '
'H','H200    ','INDUSTRIAS KEL  C.A.          ','Av. 2 No. 63 Campo Alegre Vale','ra Edo. Trujillo.             ','                              ','J-00012926-6   '
'H','H201    ','*MOLINOS NACIONALES  C.A.*    ','ZONA INDUSTRIAL LOS MESONES   ','SECTOR PUENTE AYALA GALPON N.2','BARCELONA.EDO ANZOATEGUI.     ','J-00012926-6   '
'H','H202    ','LA LUCHA  C.A.                ','1ra. AVENIDA #15  PARQUE IND. ','INDUSTRIAL EL TIGRE GUACARA   ','EDO. CARABOBO                 ','J-07507456-4   '
'H','H203    ','LA LUCHA  C.A.                ','AV. PEDRO RUSSO FERRER  EDIF. ','AGROMIL 1  URB. EL TAMBOR  LOS','TEQUES EDO. MIRANDA           ','J-00021319-4   '
'H','H205    ','**INDUSTRIAS HE-MA**          ','CALLE LA ESTANCIA KM 9 FILAS  ','DE MARICHE  CARACAS           ','                              ','J-00021319-4   '
'H','H210    ','**LACTEOS SAN SIMON**         ','AV INTERCOMUNAL ANDVES BELLO  ','PTO LA CRUZ SECTOR MOLORCA    ','                              ','J-00021319-4   '
'H','H233    ','MEAD JOHNSON NUTRITION VZLA SC','CALLE BERNARDETTE EDIF.BRISTOL','MYERS DE VZLA PB.URB.LOS CORTI','JOS DE LOURDES CARACAS        ','J296961360     '
'H','H235    ','KRAFT FOODS VENEZUELA C.A.    ','AV.FRANCISCO DE MIRANDA EDIF. ','SEGUROS VENEZUELA PISO 2 OFIC.','P2 URB.CAMPO ALEGRE CARACAS   ','J-30131018-7   '
'H','H236    ','CADBURY ADAMS S.A.            ','AV.FRANCISCO DE MIRANDA EDIF. ','CENTRO SEGUROS SUDAMERICA PISO','1 OF.1 URB.EL ROSAL CARACAS   ','J-00000471-4   '
'H','H237    ','PROMOTORA CADBURY ADAMS C.A.  ','O/C NUMERO:                   ','112014                        ','                              ','J-31085464-5   '
'H','H303    ','DIPROCHER BARCELONA  C.A.     ','Av.Jose Antonio Anzoategui    ','C/C. Aeropuerto local 8 y 9.  ','Barcelona-Edo-Anzoategui.     ','J-30064183-0   '
'H','H304    ','DIST. CESAR CAMPOS            ','Calle Freites  N 2-69-Barrio  ','Portugal.                     ','Barcelona-Edo-Anzoategui.     ','J-303548814    '
'H','H305    ','MERCADISA ORIENTE  C.A.       ','Av.Jose Antonio Anzoategui    ','C/C. Aeropuerto  local 8.     ','Barcelona-Edo-Anzoategui.     ','J-306239065    '
'H','H306    ','PLUMROSE LATINOAMERICANA C.A. ','Av.Trieste con calle Miranda  ','Urb. los Ruices Sur Edif.PLUMR','Caracas-Zona Postal 1071      ','J-000193614    '
'H','H307    ','EURO DISTRIBUCIONES  C.A.     ','O/C NUMERO:                   ','049444                        ','                              ','J-31175133-5   '
'H','H308    ','INDUSTRIAS DIANA  C.A.        ','ZONA IND LOS MONTONES AV # 1  ','PARCELA 185  BARCELONA        ','                              ','J-00017646-9   '
'H','H324    ','** M A V E S A **             ','LOS CORTIJOS DE LOURDES       ','CARACAS                       ','                              ','J-00021357-7   '
'H','H325    ','COPOSA  C.A.                  ','CARRETERA LOS MONTONES SECTOR ','OJO DE AGUA BARCELONA         ','                              ','J-00021357-7   '
'H','H350    ','PRODUCTOS PISCICOLAS PROPISCA ','CARRETERA NACIONAL CUMANA -   ','CARUPANO PLANTA ENLATADORA    ','GUATAMARE CARIACO EDO SUCRE   ','J-00092975-0   '
'H','H360    ','PHARSANA DE VENZUELA C.A.     ','URBANIZACION INDUSTRIAL       ','EL RECREO VIA FLOR AMARILLO   ','EDIF.CHICCO VALENCIA          ','J-00021357-7   '
'H','H370    ','ETHNOR FARMACEUTICA S.A.      ','AV. HENRY FORD  ZONA IND. SUR ','VALENCIA                      ','                              ','J-00012801-4   '
'H','H371    ','EVEREADY DE VENEZUELA  C.A.   ','AV. GUAICAIPURO URB EL ROSAL  ','EDIF TORRE FORUM PISO 1       ','OFIC 1-B. CARACAS.            ','J-00037427-9   '
'H','H374    ','PRODUCTOS YUPI C.A.           ','AV ABRAHAN LINCOLN EDIF.CENTUN','6 OF B URB.SABANA GRANDE      ','CARACAS                       ','J-30665572-7   '
'H','H375    ','ALINA FOODS C.A.              ','CTRA PANAMERICANA KM 6 PLANTA ','ALINA SECTOR CANO EL TIGRE ZEA','EDO MERIDA                    ','J-30503654-3   '
'H','H380    ','PROAGRO C.A.                  ','AV.EUGENIO MENDOZA EDIF.PROTI-','NAL FTE AL STADIUM JOSE BERNAR','DO PEREZ VALENCIA EDO CARABOBO','J-30984262-5   '
'H','H381    ','**PET FOOD**                  ','ZONA INDUSTRIAL EL LOQUE      ','EDO GUARICO                   ','                              ','J-00021357-7   '
'H','H385    ','PASTA SINDONI C.A.            ','ZONA INDUSTRIAL EL PINONAL VIA','BARRIO SAN CARLOS MARACAY     ','EDO MARACAY                   ','J-07505231-5   '
'H','H386    ','COMERCIAL CONTINENTAL C.A.    ','CALLE S/N MANZ 2 NRO.2-5 SECTO','CENTRO SAN FELIX              ','SAN FELIX EDO. BOLIVAR        ','J-30628244-0   '
'H','H387    ','IMP.DE ALIMENTOS BEKA  C.A.   ','CALLE SAN RAFAEL CASA NRO. 64 ','SECTOR STA.TERESA DEL TUY     ','                              ','J-30642410-5   '
'H','H388    ','PROCTER & GAMBLE DE VENEZUELA ','O/C NUMERO:                   ','057703                        ','                              ','J-07505231-5   '
'H','H389    ','PROCTER & GAMBLE DE VENEZUELA ','PLAZA VENEZUELA LOS CAOBOS  ED','032038                        ','                              ','J-30810986-0   '
'H','H390    ','PROCTER & GAMBLE DE VENEZUELA ','Zona Industrial Corpoindustria','Galpon E-4 Tinaquillo.        ','Edo- Cojedes.                 ','J-30810986-0   '
'H','H391    ','PROCTER & GAMBLE DE VENEZUELA ','EDIF. PROCTER & GAMBLE CALLE  ','ALTAGRACIA URB. SOROKAIMA  LA ','TRINIDAD BARUTA EDO. MIRANDA  ','J-00348730-9   '
'H','H392    ','NORDIK QUIMICA DE VZLA.  C.A. ','ZONA IND. GUAYABAL  CALLE C   ','PARCELA # 25  DETRAS DE AGUA M','LOS ALPES  GUARENAS - MIRANDA ','J-30044950-5   '
'H','H393    ','OIL  S.A.                     ','AV.ABRHAN LINCON -URB.SABANA  ','GRANDE TORER DOMUS-PISO 16    ','CARACAS                       ','J-30735353-8   '
'H','H396    ','PAPELES VENEZOLANOS C.A       ','CALLE LAS MERCEDES ENTRE      ','GUAICAIPURO Y CARABOBO EDIF   ','SORUM PISO 8 EL ROSAL.CARACAS ','J-075883098    '
'H','H400    ','SALES INDUSTRIALES  C.A.      ','AUTOPISTA DE ORIENTE ROMULO   ','BETANCOURT  ZONA INDUSTRIAL   ','BARBACOA  BARCELONA.          ','J-00041363-0   '
'H','H405    ','"FUNDAMERCADO"                ','SAN JUAN DE LOS MORROS        ','EDO GUARICO                   ','                              ','G-20001358-3   '
'H','H422    ','M&F PACK C.A.                 ','SECTOR LA FLORIDA FINAL AV.   ','LISANDRO ALVARADO VALENCIA    ','EDO CARABOBO                  ','J-30024916-6   '
'H','H500    ','SUCESORES DE ALFREDO WILLINER ','BV.ROCA 883 RAFAELA SANTA FE  ','ARGENTINA                     ','                              ','J-00041363-0   '
'H','H510    ','**VASOS VENEZOLANOS  C.A.**   ','AV MERIDA EL LAGO ZONA        ','INDUSTRIAL LA AMAQUITA        ','                              ','J-00041363-0   '
'A','I005    ','**ALUMROLL C.A.**             ','AV.FRANCISCO DE MIRANDA.EDIF. ','EASO  PISO N.6 LETRA "F"      ','CHACAITO. CARACAS.            ','J-30224312-2   '
'A','I010    ','  TEDICA                      ','urb.industrial el piache      ','parque el valle galpon 2-a    ','porlamar                      ','J-06512460-1   '
'A','I030    ','**BRISTOL MEYERS DE VZLA **   ','ZONA INDUSTRIAL LA AMACA      ','                              ','MARACAI EDO ARAGUA            ','J-00076573-1   '
'A','I036    ','GEISA  S.A                    ','ZONA INDUSTRIAL               ','                              ','                              ','J-00317438-6   '
'A','I040    ','GRAMOVEN  C.A.                ','O/C NUMERO:                   ','009619                        ','                              ','J-00017602-7   '
'A','I056    ','NABISCO LA  FAVORITA  C.A.    ','AV LA ESTANCIA CENTRO         ','PANAVEN TORRE A PISO 7        ','CHUAO CARACAS                 ','J-30131018-7   '
'A','I057    ','IMPROCAIMCA C.A.              ','ZONA IND. RIO NEVERI Av. JOSE ','ANTONIO ANZOATEGUI LOCAL 1 VIA','AEROPUERTO BARCELONA          ','J-000303614    '
'A','I060    ','INVERSIONES ETRON  C.A.       ','C/PRINCIPAL LOS GAMBOAS       ','SANTA ANA                     ','                              ','J-30377024-0   '
'A','I069    ','CAIGUA C.A                    ','COMPLEJO AGRO INDUSTRIAL      ','DEL GUARICO ZONA INDUSTRIAL   ','TRICENTENARIA EDO GUARICO     ','J-06001205-8   '
'A','I075    ','C.A. CENTRAL LA PASTORA       ','O/C NUMERO:                   ','001003                        ','                              ','J-00006277-3   '
'A','I076    ','C.A. CENTRAL LA PASTORA       ','O/C NUMERO:                   ','013567                        ','                              ','J-00006277-3   '
'A','I084    ','DITECA                        ','URB.INDUSTRIAL EL PIACHE      ','PARQUE EL VALLE GALPON Z-A    ','                              ','J-065035749    '
'A','I093    ','DIROCA                        ','C.C VEGOSA VIA STA ANA ALTAGRA','CIA                           ','                              ','J-065008709    '
'A','I098    ','DIPROCHER PORLAMAR            ','CALLE RIVAS ENTRE AV MIRANDA  ','I CALLE QUILARTE PORLAMAR     ','                              ','30058498-4     '
'A','I134    ','ENVASES VENEZUELA             ','AV BOLIVAR EDIF EVENCA        ','N.320.322                     ','PTO LA CRUZ                   ','J-08000007-2   '
'A','I146    ','ENVAMARCA                     ','CALLE SAN ANTONIO GALPON 1    ','EL MACO MARGARITA             ','                              ','J-6503401      '
'A','I150    ','EVEREADY DE VENEZUELA C.A.    ','Av. Guaicapuro Edf. Forum piso','14 Urb. El Rosal Caracas      ','                              ','J-00037427-9   '
'A','I201    ','MOLINOS NACIONALES C.A.       ','URB. SORPRESA PTO.CABELLO     ','EDO.CARABOBO                  ','                              ','J-000255431    '
'A','I202    ','PRODUCTOS MILPA  C.A.         ','AV. No.15  PARQUE INDUSTRIAL  ','EL TIGRE   GUACARA EDO CARBOBO','                              ','J-000255431    '
'A','I324    ','M  A  V  E  S  A    S.A.      ','LOS CORTIJOS DE LOURDES       ','CARACAS                       ','                              ','J-00024573-8   '
'A','I325    ','ACEITE COPOSA                 ','CARETERA`VIA PAYARA ZONA      ','INDUSTRIAL ACARIGUA           ','EDO PORTUGUESA                ','J-08502021-7   '
'K','K002    ','GRASACA GRASAS SAN CARLOS     ','AV. LA SALLE TORRE PHELPS PISO','14 OFICINA A Y C              ','CARACAS                       ','J-31104331-4   '
'K','K003    ','ALIMENTOS NATROPIC S.A.       ','URB.INDUSTRIAL LA QUINZANA AVE','CIRCUNVALACION GALPON N* 107  ','VALENCIA EDO CARABOBO         ','0362969760     '
'K','K007    ','COMERC.DE ALIMENTOS VALFA C.A.','CALLE NEGRO PRIMERO C/AV SUCRE','CASA N*4-4 SECTOR SAN JOAQUIN ','SAN JOAQUIN EDO CARABOBO      ','J-301936167    '
'K','K008    ','CORPORACION MM & SI 2008      ','CARRETERA NACIONAL DE CAGUA A ','VILLA DE CURA. ZONA IND. OESTE','FRENTE IENCA. EDO. ARAGUA     ','J-29795414-5   '
'K','K009    ','CAIP                          ','AVENIDA CARUPANO CAIGUIRE     ','CUMANA EDO SUCRE              ','                              ','J-00019463-7   '
'K','K013    ','DEL MONTE ANDINA C.A.         ','AV.PROLONGACION AV.BERMUDEZ   ','EDIF.PLANTA BAJA PISO 1 LOCAL1','ZONA IND.TURMERO EDO ARAGUA   ','J-30546458-8   '
